transaction_id,date,product_sku,product_name,category,brand,store_id,store_name,region,channel,quantity,unit_price,sales_amount,cost_amount,discount_percent
TXN1020,2023-07-03,SM-G990,Smartphone Galaxy,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,1,899.99,809.99,650.0,10
TXN1021,2023-10-28,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,PAR01,Paris Centre,Île-de-France,Mobile,3,1299.99,3899.97,2940.0,0
TXN1022,2023-11-07,TAB-S7,Tablette S7,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,2,499.99,899.98,760.0,10
TXN1023,2023-02-08,SM-G990,Smartphone Galaxy,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,1,899.99,854.99,650.0,5
TXN1024,2023-03-07,IP-14-128,iPhone 14 128GB,Électronique,Apple,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Web,2,989.99,1979.98,1500.0,0
TXN1025,2023-01-20,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Magasin,3,989.99,2969.97,2250.0,0
TXN1026,2023-07-30,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,PAR01,Paris Centre,Île-de-France,Mobile,2,1299.99,2339.98,1960.0,10
TXN1027,2023-05-06,SM-G990,Smartphone Galaxy,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,2,899.99,1799.98,1300.0,0
TXN1028,2024-02-20,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,PAR01,Paris Centre,Île-de-France,Mobile,1,1299.99,1299.99,980.0,0
TXN1029,2024-05-28,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Mobile,3,899.99,2699.97,1950.0,0
TXN1030,2023-12-12,SM-G990,Smartphone Galaxy,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,1,899.99,899.99,650.0,0
TXN1031,2024-02-12,TAB-S7,Tablette S7,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Magasin,3,499.99,1274.97,1140.0,15
TXN1032,2023-09-16,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Web,3,989.99,2969.97,2250.0,0
TXN1033,2023-12-14,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,1,699.99,699.99,520.0,0
TXN1034,2024-03-15,SM-G990,Smartphone Galaxy,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,3,899.99,2564.97,1950.0,5
TXN1035,2023-01-22,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,2,1299.99,2469.98,1960.0,5
TXN1036,2023-07-17,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Web,3,899.99,2294.97,1950.0,15
TXN1037,2023-01-17,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,2,1299.99,2339.98,1960.0,10
TXN1038,2024-01-26,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,1,699.99,699.99,520.0,0
TXN1039,2023-02-08,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Web,3,699.99,2099.97,1560.0,0
TXN1040,2023-05-23,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,3,1299.99,3899.97,2940.0,0
TXN1041,2023-02-20,SM-G990,Smartphone Galaxy,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,1,899.99,899.99,650.0,0
TXN1042,2024-04-10,TAB-S7,Tablette S7,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,3,499.99,1349.97,1140.0,10
TXN1043,2023-04-27,SM-G990,Smartphone Galaxy,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,2,899.99,1799.98,1300.0,0
TXN1044,2024-03-25,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,1,699.99,699.99,520.0,0
TXN1045,2023-11-07,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,3,699.99,1889.97,1560.0,10
TXN1046,2023-10-04,TAB-S7,Tablette S7,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Mobile,3,499.99,1274.97,1140.0,15
TXN1047,2023-07-20,IP-14-128,iPhone 14 128GB,Électronique,Apple,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,2,989.99,1781.98,1500.0,10
TXN1048,2023-07-17,TAB-S7,Tablette S7,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Web,2,499.99,949.98,760.0,5
TXN1049,2023-03-22,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,3,1299.99,3314.97,2940.0,15
TXN1050,2023-11-27,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Web,3,1299.99,3704.97,2940.0,5
TXN1051,2023-08-08,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,3,1299.99,3704.97,2940.0,5
TXN1052,2023-11-30,IP-14-128,iPhone 14 128GB,Électronique,Apple,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,2,989.99,1979.98,1500.0,0
TXN1053,2023-02-13,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,2,1299.99,2209.98,1960.0,15
TXN1054,2023-06-03,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Magasin,2,989.99,1880.98,1500.0,5
TXN1055,2023-12-21,TAB-S7,Tablette S7,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,2,499.99,949.98,760.0,5
TXN1056,2023-09-09,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Web,1,699.99,699.99,520.0,0
TXN1057,2023-02-05,IP-14-128,iPhone 14 128GB,Électronique,Apple,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,3,989.99,2524.47,2250.0,15
TXN1058,2023-06-10,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,3,1299.99,3704.97,2940.0,5
TXN1059,2023-02-08,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,3,699.99,1889.97,1560.0,10
TXN1060,2023-02-23,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Web,1,899.99,899.99,650.0,0
TXN1061,2023-03-16,IP-14-128,iPhone 14 128GB,Électronique,Apple,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,2,989.99,1979.98,1500.0,0
TXN1062,2023-11-09,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,2,699.99,1399.98,1040.0,0
TXN1063,2024-02-14,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Magasin,1,899.99,854.99,650.0,5
TXN1064,2023-09-30,SM-G990,Smartphone Galaxy,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Web,1,899.99,899.99,650.0,0
TXN1065,2023-11-22,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,1,699.99,594.99,520.0,15
TXN1066,2023-04-23,IP-14-128,iPhone 14 128GB,Électronique,Apple,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,3,989.99,2969.97,2250.0,0
TXN1067,2023-09-27,TAB-S7,Tablette S7,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,2,499.99,999.98,760.0,0
TXN1068,2024-01-25,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,2,1299.99,2599.98,1960.0,0
TXN1069,2023-05-06,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Magasin,2,899.99,1799.98,1300.0,0
TXN1070,2023-12-25,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,3,699.99,1889.97,1560.0,10
TXN1071,2023-02-17,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,3,1299.99,3314.97,2940.0,15
TXN1072,2023-04-06,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,3,699.99,1889.97,1560.0,10
TXN1073,2024-06-03,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,PAR01,Paris Centre,Île-de-France,Mobile,1,1299.99,1169.99,980.0,10
TXN1074,2023-03-03,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Web,1,899.99,854.99,650.0,5
TXN1075,2023-10-12,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,1,1299.99,1299.99,980.0,0
TXN1076,2023-05-15,TAB-S7,Tablette S7,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,1,499.99,449.99,380.0,10
TXN1077,2023-02-20,TAB-S7,Tablette S7,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,1,499.99,449.99,380.0,10
TXN1078,2023-04-28,TAB-S7,Tablette S7,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,2,499.99,949.98,760.0,5
TXN1079,2023-09-10,IP-14-128,iPhone 14 128GB,Électronique,Apple,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,3,989.99,2524.47,2250.0,15
TXN1080,2023-12-27,TAB-S7,Tablette S7,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Web,3,499.99,1499.97,1140.0,0
TXN1081,2023-08-02,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,1,1299.99,1299.99,980.0,0
TXN1082,2024-04-14,IP-14-128,iPhone 14 128GB,Électronique,Apple,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,3,989.99,2672.97,2250.0,10
TXN1083,2023-12-13,TAB-S7,Tablette S7,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Mobile,2,499.99,999.98,760.0,0
TXN1084,2023-07-11,TAB-S7,Tablette S7,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,1,499.99,499.99,380.0,0
TXN1085,2023-04-21,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Web,2,699.99,1399.98,1040.0,0
TXN1086,2023-09-06,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Mobile,1,899.99,809.99,650.0,10
TXN1087,2024-04-25,TAB-S7,Tablette S7,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,2,499.99,999.98,760.0,0
TXN1088,2024-01-11,IP-14-128,iPhone 14 128GB,Électronique,Apple,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,1,989.99,940.49,750.0,5
TXN1089,2023-04-03,TAB-S7,Tablette S7,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,1,499.99,474.99,380.0,5
TXN1090,2023-12-12,TAB-S7,Tablette S7,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,3,499.99,1499.97,1140.0,0
TXN1091,2024-06-02,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,3,1299.99,3899.97,2940.0,0
TXN1092,2023-02-15,TAB-S7,Tablette S7,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Web,1,499.99,449.99,380.0,10
TXN1093,2023-07-16,SM-G990,Smartphone Galaxy,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,1,899.99,854.99,650.0,5
TXN1094,2023-01-06,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Web,3,699.99,2099.97,1560.0,0
TXN1095,2023-03-11,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,1,699.99,594.99,520.0,15
TXN1096,2023-06-15,SM-G990,Smartphone Galaxy,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,3,899.99,2294.97,1950.0,15
TXN1097,2023-04-04,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,1,1299.99,1234.99,980.0,5
TXN1098,2023-01-26,IP-14-128,iPhone 14 128GB,Électronique,Apple,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,3,989.99,2672.97,2250.0,10
TXN1099,2023-06-03,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Web,2,899.99,1619.98,1300.0,10
TXN1100,2024-04-29,IP-14-128,iPhone 14 128GB,Électronique,Apple,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,3,989.99,2821.47,2250.0,5
TXN1101,2024-02-09,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,1,1299.99,1299.99,980.0,0
TXN1102,2023-02-01,SM-G990,Smartphone Galaxy,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,2,899.99,1799.98,1300.0,0
TXN1103,2023-10-14,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,PAR01,Paris Centre,Île-de-France,Magasin,3,1299.99,3899.97,2940.0,0
TXN1104,2024-03-11,IP-14-128,iPhone 14 128GB,Électronique,Apple,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,2,989.99,1979.98,1500.0,0
TXN1105,2023-09-24,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,1,1299.99,1104.99,980.0,15
TXN1106,2023-03-27,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,PAR01,Paris Centre,Île-de-France,Mobile,3,1299.99,3704.97,2940.0,5
TXN1107,2023-03-28,TAB-S7,Tablette S7,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,1,499.99,474.99,380.0,5
TXN1108,2023-05-30,IP-14-128,iPhone 14 128GB,Électronique,Apple,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,3,989.99,2969.97,2250.0,0
TXN1109,2023-07-04,SM-G990,Smartphone Galaxy,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,3,899.99,2699.97,1950.0,0
TXN1110,2023-01-02,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,PAR01,Paris Centre,Île-de-France,Magasin,1,1299.99,1169.99,980.0,10
TXN1111,2023-08-29,SM-G990,Smartphone Galaxy,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,3,899.99,2429.97,1950.0,10
TXN1112,2024-03-06,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Mobile,2,699.99,1329.98,1040.0,5
TXN1113,2023-04-02,TAB-S7,Tablette S7,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Mobile,2,499.99,999.98,760.0,0
TXN1114,2023-02-07,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,1,1299.99,1299.99,980.0,0
TXN1115,2023-02-13,TAB-S7,Tablette S7,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,2,499.99,899.98,760.0,10
TXN1116,2024-02-12,IP-14-128,iPhone 14 128GB,Électronique,Apple,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,2,989.99,1979.98,1500.0,0
TXN1117,2023-07-29,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Magasin,1,699.99,699.99,520.0,0
TXN1118,2023-04-04,TAB-S7,Tablette S7,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,2,499.99,949.98,760.0,5
TXN1119,2023-10-28,IP-14-128,iPhone 14 128GB,Électronique,Apple,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,1,989.99,940.49,750.0,5
TXN1120,2023-11-05,TAB-S7,Tablette S7,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,2,499.99,849.98,760.0,15
TXN1121,2024-01-09,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Web,3,899.99,2429.97,1950.0,10
TXN1122,2023-01-29,IP-14-128,iPhone 14 128GB,Électronique,Apple,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,3,989.99,2821.47,2250.0,5
TXN1123,2024-03-21,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,2,699.99,1329.98,1040.0,5
TXN1124,2024-01-27,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,3,1299.99,3899.97,2940.0,0
TXN1125,2023-11-19,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,1,699.99,699.99,520.0,0
TXN1126,2023-10-15,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,2,1299.99,2599.98,1960.0,0
TXN1127,2024-05-24,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,PAR01,Paris Centre,Île-de-France,Magasin,1,1299.99,1299.99,980.0,0
TXN1128,2024-01-24,TAB-S7,Tablette S7,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,3,499.99,1349.97,1140.0,10
TXN1129,2024-06-29,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Mobile,3,989.99,2821.47,2250.0,5
TXN1130,2023-08-18,SM-G990,Smartphone Galaxy,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,3,899.99,2429.97,1950.0,10
TXN1131,2023-08-25,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Web,2,699.99,1399.98,1040.0,0
TXN1132,2023-07-08,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Web,1,899.99,809.99,650.0,10
TXN1133,2023-08-16,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,3,699.99,1784.97,1560.0,15
TXN1134,2023-12-06,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Mobile,1,989.99,890.99,750.0,10
TXN1135,2024-01-07,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,1,699.99,699.99,520.0,0
TXN1136,2023-10-15,SM-G990,Smartphone Galaxy,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Magasin,3,899.99,2564.97,1950.0,5
TXN1137,2024-02-13,SM-G990,Smartphone Galaxy,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,2,899.99,1799.98,1300.0,0
TXN1138,2023-10-07,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,3,699.99,1784.97,1560.0,15
TXN1139,2023-10-18,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Magasin,2,989.99,1979.98,1500.0,0
TXN1140,2023-05-02,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Web,3,899.99,2564.97,1950.0,5
TXN1141,2023-07-29,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Web,3,989.99,2821.47,2250.0,5
TXN1142,2023-12-31,SM-G990,Smartphone Galaxy,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,2,899.99,1529.98,1300.0,15
TXN1143,2023-01-21,TAB-S7,Tablette S7,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Magasin,3,499.99,1274.97,1140.0,15
TXN1144,2023-06-15,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,2,699.99,1329.98,1040.0,5
TXN1145,2023-08-23,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Mobile,2,989.99,1880.98,1500.0,5
TXN1146,2024-05-24,SM-G990,Smartphone Galaxy,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,1,899.99,899.99,650.0,0
TXN1147,2024-03-21,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Mobile,1,989.99,940.49,750.0,5
TXN1148,2023-12-24,SM-G990,Smartphone Galaxy,Électronique,Samsung,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,2,899.99,1529.98,1300.0,15
TXN1149,2024-01-17,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,2,699.99,1259.98,1040.0,10
TXN1150,2024-01-03,SM-G990,Smartphone Galaxy,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,1,899.99,854.99,650.0,5
TXN1151,2024-01-13,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Web,2,699.99,1399.98,1040.0,0
TXN1152,2023-06-28,IP-14-128,iPhone 14 128GB,Électronique,Apple,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,2,989.99,1979.98,1500.0,0
